,Date,25,Active_power
152,02-06-18,2:00:00 PM,750.0
153,02-06-18,2:15:00 PM,2670.0
154,02-06-18,2:30:00 PM,900.0
155,02-06-18,2:45:00 PM,0.0
156,02-06-18,3:00:00 PM,30.0
157,02-06-18,3:15:00 PM,30.0
158,02-06-18,3:30:00 PM,60.0
159,02-06-18,3:45:00 PM,60.0
160,02-06-18,4:00:00 PM,60.0
161,02-06-18,4:15:00 PM,60.0
162,02-06-18,4:30:00 PM,60.0
163,02-06-18,4:45:00 PM,60.0
164,02-06-18,5:00:00 PM,60.0
165,02-06-18,5:15:00 PM,60.0
166,02-06-18,5:30:00 PM,90.0
167,02-06-18,5:45:00 PM,120.0
168,02-06-18,6:00:00 PM,180.0
169,02-06-18,6:15:00 PM,1170.0
170,02-06-18,6:30:00 PM,150.0
171,02-06-18,6:45:00 PM,150.0
172,02-06-18,7:00:00 PM,150.0
173,02-06-18,7:15:00 PM,150.0
174,02-06-18,7:30:00 PM,150.0
175,02-06-18,7:45:00 PM,150.0
176,02-06-18,8:00:00 PM,150.0
177,02-06-18,8:15:00 PM,150.0
178,02-06-18,8:30:00 PM,150.0
179,02-06-18,8:45:00 PM,150.0
180,02-06-18,9:00:00 PM,150.0
181,02-06-18,9:15:00 PM,150.0
182,02-06-18,9:30:00 PM,150.0
183,02-06-18,9:45:00 PM,150.0
184,02-06-18,10:00:00 PM,150.0
185,02-06-18,10:15:00 PM,150.0
186,02-06-18,10:30:00 PM,150.0
187,02-06-18,10:45:00 PM,150.0
188,02-06-18,11:00:00 PM,150.0
189,02-06-18,11:15:00 PM,120.0
190,02-06-18,11:30:00 PM,30.0
191,02-06-18,11:45:00 PM,30.0
192,03-06-18,12:00:00 AM,30.0
193,03-06-18,12:15:00 AM,0.0
194,03-06-18,12:30:00 AM,0.0
195,03-06-18,12:45:00 AM,0.0
196,03-06-18,1:00:00 AM,0.0
197,03-06-18,1:15:00 AM,30.0
198,03-06-18,1:30:00 AM,30.0
199,03-06-18,1:45:00 AM,30.0
200,03-06-18,2:00:00 AM,30.0
201,03-06-18,2:15:00 AM,30.0
202,03-06-18,2:30:00 AM,30.0
203,03-06-18,2:45:00 AM,30.0
204,03-06-18,3:00:00 AM,30.0
205,03-06-18,3:15:00 AM,30.0
206,03-06-18,3:30:00 AM,30.0
207,03-06-18,3:45:00 AM,30.0
208,03-06-18,4:00:00 AM,30.0
209,03-06-18,4:15:00 AM,30.0
210,03-06-18,4:30:00 AM,30.0
211,03-06-18,4:45:00 AM,30.0
212,03-06-18,5:00:00 AM,30.0
213,03-06-18,5:15:00 AM,30.0
214,03-06-18,5:30:00 AM,60.0
215,03-06-18,5:45:00 AM,1140.0
216,03-06-18,6:00:00 AM,120.0
217,03-06-18,6:15:00 AM,0.0
218,03-06-18,6:30:00 AM,0.0
219,03-06-18,6:45:00 AM,0.0
220,03-06-18,7:00:00 AM,0.0
221,03-06-18,7:15:00 AM,0.0
222,03-06-18,7:30:00 AM,0.0
223,03-06-18,7:45:00 AM,0.0
224,03-06-18,8:00:00 AM,0.0
225,03-06-18,8:15:00 AM,0.0
226,03-06-18,8:30:00 AM,0.0
227,03-06-18,8:45:00 AM,0.0
228,03-06-18,9:00:00 AM,0.0
229,03-06-18,9:15:00 AM,0.0
230,03-06-18,9:30:00 AM,0.0
231,03-06-18,9:45:00 AM,0.0
232,03-06-18,10:00:00 AM,0.0
233,03-06-18,10:15:00 AM,0.0
234,03-06-18,10:30:00 AM,0.0
235,03-06-18,10:45:00 AM,0.0
236,03-06-18,11:00:00 AM,0.0
237,03-06-18,11:15:00 AM,0.0
238,03-06-18,11:30:00 AM,0.0
239,03-06-18,11:45:00 AM,0.0
240,03-06-18,12:00:00 PM,0.0
241,03-06-18,12:15:00 PM,0.0
242,03-06-18,12:30:00 PM,0.0
243,03-06-18,12:45:00 PM,0.0
244,03-06-18,1:00:00 PM,0.0
245,03-06-18,1:15:00 PM,0.0
246,03-06-18,1:30:00 PM,0.0
247,03-06-18,1:45:00 PM,0.0
248,03-06-18,2:00:00 PM,0.0
249,03-06-18,2:15:00 PM,0.0
250,03-06-18,2:30:00 PM,0.0
251,03-06-18,2:45:00 PM,0.0
252,03-06-18,3:00:00 PM,0.0
253,03-06-18,3:15:00 PM,0.0
254,03-06-18,3:30:00 PM,0.0
255,03-06-18,3:45:00 PM,0.0
256,03-06-18,4:00:00 PM,0.0
257,03-06-18,4:15:00 PM,120.0
258,03-06-18,4:30:00 PM,0.0
259,03-06-18,4:45:00 PM,0.0
260,03-06-18,5:00:00 PM,0.0
261,03-06-18,5:15:00 PM,0.0
262,03-06-18,5:30:00 PM,0.0
263,03-06-18,5:45:00 PM,0.0
264,03-06-18,6:00:00 PM,0.0
265,03-06-18,6:15:00 PM,30.0
266,03-06-18,6:30:00 PM,30.0
267,03-06-18,6:45:00 PM,150.0
268,03-06-18,7:00:00 PM,150.0
269,03-06-18,7:15:00 PM,150.0
270,03-06-18,7:30:00 PM,150.0
271,03-06-18,7:45:00 PM,150.0
272,03-06-18,8:00:00 PM,150.0
273,03-06-18,8:15:00 PM,150.0
274,03-06-18,8:30:00 PM,150.0
275,03-06-18,8:45:00 PM,150.0
276,03-06-18,9:00:00 PM,150.0
277,03-06-18,9:15:00 PM,150.0
278,03-06-18,9:30:00 PM,150.0
279,03-06-18,9:45:00 PM,150.0
280,03-06-18,10:00:00 PM,150.0
281,03-06-18,10:15:00 PM,150.0
282,03-06-18,10:30:00 PM,150.0
283,03-06-18,10:45:00 PM,150.0
284,03-06-18,11:00:00 PM,150.0
285,03-06-18,11:15:00 PM,120.0
286,03-06-18,11:30:00 PM,60.0
287,03-06-18,11:45:00 PM,60.0
288,04-06-18,12:00:00 AM,60.0
289,04-06-18,12:15:00 AM,60.0
290,04-06-18,12:30:00 AM,60.0
291,04-06-18,12:45:00 AM,60.0
292,04-06-18,1:00:00 AM,60.0
293,04-06-18,1:15:00 AM,60.0
294,04-06-18,1:30:00 AM,60.0
295,04-06-18,1:45:00 AM,60.0
296,04-06-18,2:00:00 AM,60.0
297,04-06-18,2:15:00 AM,60.0
298,04-06-18,2:30:00 AM,60.0
299,04-06-18,2:45:00 AM,60.0
300,04-06-18,3:00:00 AM,60.0
301,04-06-18,3:15:00 AM,60.0
302,04-06-18,3:30:00 AM,60.0
303,04-06-18,3:45:00 AM,60.0
304,04-06-18,4:00:00 AM,60.0
305,04-06-18,4:15:00 AM,60.0
306,04-06-18,4:30:00 AM,60.0
307,04-06-18,4:45:00 AM,60.0
308,04-06-18,5:00:00 AM,60.0
309,04-06-18,5:15:00 AM,60.0
310,04-06-18,5:30:00 AM,180.0
311,04-06-18,5:45:00 AM,960.0
312,04-06-18,6:00:00 AM,1320.0
313,04-06-18,6:15:00 AM,0.0
314,04-06-18,6:30:00 AM,0.0
315,04-06-18,6:45:00 AM,0.0
316,04-06-18,7:00:00 AM,0.0
317,04-06-18,7:15:00 AM,0.0
318,04-06-18,7:30:00 AM,0.0
319,04-06-18,7:45:00 AM,0.0
320,04-06-18,8:00:00 AM,0.0
321,04-06-18,9:00:00 AM,0.0
322,04-06-18,9:15:00 AM,0.0
323,04-06-18,9:30:00 AM,0.0
324,04-06-18,9:45:00 AM,0.0
325,04-06-18,10:00:00 AM,0.0
326,04-06-18,10:15:00 AM,0.0
327,04-06-18,10:30:00 AM,0.0
328,04-06-18,10:45:00 AM,0.0
329,04-06-18,11:00:00 AM,0.0
330,04-06-18,11:15:00 AM,0.0
331,04-06-18,11:30:00 AM,0.0
332,04-06-18,11:45:00 AM,0.0
333,04-06-18,12:00:00 PM,0.0
334,04-06-18,12:15:00 PM,0.0
335,04-06-18,12:30:00 PM,0.0
336,04-06-18,12:45:00 PM,0.0
337,04-06-18,1:00:00 PM,0.0
338,04-06-18,1:15:00 PM,0.0
339,04-06-18,1:30:00 PM,0.0
340,04-06-18,1:45:00 PM,0.0
341,04-06-18,2:00:00 PM,0.0
342,04-06-18,2:15:00 PM,90.0
343,04-06-18,2:30:00 PM,0.0
344,04-06-18,2:45:00 PM,0.0
345,04-06-18,3:00:00 PM,0.0
346,04-06-18,3:15:00 PM,0.0
347,04-06-18,3:30:00 PM,0.0
348,04-06-18,3:45:00 PM,0.0
349,04-06-18,4:00:00 PM,0.0
350,04-06-18,4:15:00 PM,0.0
351,04-06-18,4:30:00 PM,0.0
352,04-06-18,4:45:00 PM,0.0
353,04-06-18,5:00:00 PM,0.0
354,04-06-18,5:15:00 PM,0.0
355,04-06-18,5:30:00 PM,0.0
356,04-06-18,5:45:00 PM,0.0
357,04-06-18,6:00:00 PM,0.0
358,04-06-18,6:15:00 PM,0.0
359,04-06-18,6:30:00 PM,0.0
360,04-06-18,6:45:00 PM,0.0
361,04-06-18,7:00:00 PM,0.0
362,04-06-18,7:15:00 PM,150.0
363,04-06-18,7:30:00 PM,150.0
364,04-06-18,7:45:00 PM,150.0
365,04-06-18,8:00:00 PM,150.0
366,04-06-18,8:15:00 PM,0.0
367,04-06-18,8:30:00 PM,0.0
368,04-06-18,8:45:00 PM,0.0
369,04-06-18,9:00:00 PM,0.0
370,04-06-18,9:15:00 PM,180.0
371,04-06-18,9:30:00 PM,150.0
372,04-06-18,9:45:00 PM,240.0
373,04-06-18,10:00:00 PM,360.0
374,04-06-18,10:15:00 PM,150.0
